"id","name","type","price","rating","numReviews","shortDescription"
"344MTECALS87","Michelob ULTRA Superior Light American Lager Beer, 24 Pack, 12 fl oz Aluminum Cans, 4.2 % ABV","Beer",20.76,4.8,2530,"<li>Smooth, refreshing, low-carbohydrate beer</li><li>95 calories and 2.5g of carbs per 12 ounces</li>"
"1EG8XU3OL91O","Busch Light American Light Lager Beer 30 Pack 12 fl oz Aluminum Cans 4.1% ABV","Beer",17.36,4.8,562,"<li>Light, balanced flavor with fewer calories</li><li>Great taste in an easy-drinking light beer</li>"
"4R39VMAD48LZ","Budweiser American Lager Beer 30 Pack 12 fl oz Aluminum Cans 5% ABV","Beer",22.36,4.7,128,"<li>Crisp, balanced taste, light body and exceptional clarity</li><li>Accentuates the flavors of a wide variety of food</li>"
"0UKLRGQLKOEG","Bud Light American Light Lager Beer 30 Pack 12 fl oz Aluminum Cans 4.2% ABV","Beer",22.36,4.7,323,"<li>Called the ""world's favorite"" light beer</li><li>Combines great taste with lower calories</li>"
"6BHHZNBTJ2VC","Coors Light American Light Lager Beer, 30 Pack, 12 fl oz Aluminum Cans, 4.2% ABV","Beer",22.36,4.8,1128,"<li>Aluminum</li><li>Can</li><li>Beer</li>"
"78D5L59E7U2X","Miller Lite American Light Lager Beer, 30 Pack, 12 fl oz Aluminum Cans, 4.2% ABV, Domestic Lager","Beer",22.36,4.7,307,"<li>Aluminum</li><li>Can</li><li>Beer</li>"
"6WLMNCKCOK3P","Budweiser American Lager Beer 36 Pack 12 fl oz Aluminum Cans 5% ABV","Beer",24.17,4.8,61,"<li>Crisp, balanced taste, light body and exceptional clarity</li><li>Accentuates the flavors of a wide variety of food</li>"
"1O3G244F20E9","Coors Banquet American Lager Beer, 30 Pack, 12 fl oz Aluminum Cans, 5.0% ABV","Beer",22.36,4.9,55,"<li>Aluminum</li><li>Can</li><li>Beer</li>"
"79FP4C4OU6JM","Natural Ice American Lager Beer 30 Pack 12 fl oz Aluminum Cans 5.9% ABV","Beer",19.27,4.7,93,"<li>Ice brewed for a naturally smooth taste</li><li>Robust body, delicate sweetness and smooth, rich taste</li>"
"2D47C13SAJ1L","Natural Light American Lager Beer 30 Pack 12 fl oz Aluminum Cans 4.2% ABV","Beer",19.27,4.7,221,"A wonderfully blended and balanced American-style light lager. Natural Light is the ultimate value beer. Natural Light's longer brewing process produces a lighter body, fewer calories and an"
"6XXQNNJ5IWN8","Keystone Light Beer, 30 Pack, 12 fl oz Aluminum Cans, 4.1% ABV, Domestic Lager","Beer",19.27,4.7,157,"<li>Aluminum</li><li>Can</li><li>Beer</li>"
"2W8EKM8BVCHV","Michelob ULTRA Superior Light American Lager Beer, 24 Pack 12 fl oz Glass Bottles 4.2% ABV","Beer",21.36,4.8,2335,"Michelob Ultra 24/12b"
"5KJBIMR5BAFG","Bud Light American Light Lager Beer 36 Pack 12 fl oz Aluminum Cans 4.2% ABV","Beer",24.17,4.7,91,"<li>Called the ""world's favorite"" light beer</li><li>Combines great taste with lower calories</li>"
"5XLWQ5P4ZY4J","Busch American Lager Beer 30 Pack 12 fl oz Aluminum Cans 4.3% ABV","Beer",17.36,4.8,100,"<li>Offers a refreshingly smooth taste</li><li>Clear and bright as mountain air</li>"
"287QTI1JDCMG","Coors Light American Light Lager Beer, 36 Pack, 12 fl oz Aluminum Cans, 4.2% ABV","Beer",25.22,4.8,131,"<li>Aluminum</li><li>Can</li><li>Beer</li>"
"1UTHXKFO6AJ3","Pabst Blue Ribbon, Domestic Lager, 6 Pack, 16 fl oz Can, 4.7% ABV","Beer",6.98,4.9,10,"<li>Well balance between malt and bitter with a noble hop flavor and aroma</li><li>An award winning Original American Lager</li>"
"3PNI6WZ7EB2V","Miller High Life  Beer , 30 Pack, 12 fl oz Aluminum Cans, 4.6% ABV, Domestic Lager","Beer",19.27,4.7,102,"<li>Aluminum</li><li>Can</li><li>Beer</li>"
"74JL2OKYGXOL","Miller High Life  Beer , 12 Pack, 12 fl oz Glass Bottles, 4.6% ABV, Domestic Lager","Beer",9.94,4.7,35,"<li>Glass</li><li>Bottle</li><li>Beer</li>"
"64JWQNLKVXFM","Budweiser American Lager Beer 3 Pack 25 fl oz Aluminum Cans 5% ABV","Beer",7.12,5,7,"<li>Crisp, balanced taste, light body and exceptional clarity</li><li>Accentuates the flavors of a wide variety of food</li>"
"6E58VHH5KDQD","Coors Banquet American Lager Beer, 18 Pack, 12 fl oz Glass Bottles, 5.0% ABV","Beer",16.47,4.9,15,"<li>Glass</li><li>Bottle</li><li>Beer</li>"
"3606JG213ESJ","Coors Light American Light Lager Beer, 15 Pack, 16 fl oz Aluminum Bottles, 4.2% ABV","Beer",16.77,4.8,927,"<li>Aluminum</li><li>Bottle</li><li>Beer</li>"
"1NRTCZNGCNIL","Bud Light Original American Chelada Beer 12 Pack 12 fl oz Aluminum Cans 4.2% ABV","Beer",12.73,4.7,30,"Bud Light Chelada 12/12c"
"4KS7FC0BWYN4","Michelob ULTRA Superior Light American Lager Beer, 6 Pack 12 fl oz Glass Bottles 4.2% ABV","Beer",8.82,4.8,119,"Michelob ULTRA appeals to beer drinkers interested in a superior tasting light beer that promotes an active, social lifestyle."
"2GHSCJCYLV61","Coors Light American Light Lager Beer, 12 Pack, 12 fl oz Aluminum Cans, 4.2% ABV","Beer",13.12,4.8,1023,"<li>Aluminum</li><li>Can</li><li>Beer</li>"
"1YUCXD8X5GFO","Bud Light American Light Lager Beer 12 Pack 12 fl oz Aluminum Cans 4.2% ABV","Beer",13.12,4.9,37,"Budweiser Bud Light 12 Pack 12 Oz Cans"
"571GUGKFHR0J","Miller Genuine Draft American Lager Beer, 18 Pack, 12 fl oz Glass Bottles, 4.7% ABV, Domestic Lager","Beer",16.47,5,8,"<li>Miller Genuine Draft is an American lager beer with 4.6% ABV. This easy-to-drink session beer delivers a fresh from the tap taste through its proprietary ""cold-filtered four times"" brewing</li>"
"3OTX6QXMJZIJ","Michelob ULTRA Superior Light American Lager Beer, 3 Pack 25 fl oz Aluminum Cans 4.2% ABV","Beer",8.12,4.8,93,"<li>Smooth, refreshing, low-carbohydrate beer</li><li>95 calories and 2.5g of carbs per 12 ounces</li>"
