"id","name","type","price","rating","numReviews","shortDescription"
"5X8SFRL8NE3Q","Starbucks Pink Drink & Paradise Drink Beverage with Coconut Milk, 2 Flavor Variety Pack, 14 fl oz, 12 Pack Bottles","Juices",41.39,3.4,235,
"5ED3K4I1UP3C","Tree Top 100% Apple Juice, from Concentrate, 64 fl oz","Juices",3.28,4.7,132,
"1IU2B5EH3DH4","Suja Organic Immunity Turmeric Pineapple Wellness Shots, 1.7 fl oz Bottle, 4-Pack","Juices",8.98,4.4,341,
"5L5OJ2R5NFZD","Tree Top 100% Apple Grape Juice, from Concentrates, 64 fl oz","Juices",3.28,4.9,18,
"2PMQLKGDAMKA","(2 pack) Great Value 100% Apple Juice, 96 fl oz","Juices",5.74,4.4,4749,"<li>Great Value 100% Apple Juice</li><li>96 fl oz bottle</li></lu><li>Contains 130% of daily vitamin C requirement per serving</li>"
"6VYUF465N6MA","Minute Maid Tropical Fruit Punch Drink, 59 fl oz Carton","Juices",2.08,4.5,1851,"<li>Enjoy a refreshing classic with Minute Maid Tropical Punch</li><li>Made with real fruit juice and natural flavors</li><li>59 fl oz carton, so you can share the goodness with your friends</li>"
"5RN27G35MBYP","Minute Maid Fruit Punch Real Fruit Juice Drink, 59 fl oz Carton","Juices",2.08,4.4,2508,"<li>Enjoy a refreshing classic with Minute Maid Fruit Punch</li><li>Made with real fruit juice and natural flavors</li><li>59 fl oz carton, so you can share the goodness with your friends</li>"
"2ZCAJBSWDR2P","Minute Maid Premium Peach Fruit Juice Drink, 59 fl oz Carton","Juices",2.08,4.4,1114,"<li>Enjoy a refreshing classic with Minute Maid Premium Peach</li><li>Made with real fruit juice and natural flavors</li><li>59 fl oz carton, so you can share the goodness with your friends</li>"
"5UZXCIT4MA5J","SunnyD Tangy Original Orange Juice Drink, 1 Gallon Bottle","Juices",3.44,4.4,1194,"<li>100% vitamin C</li><li>60 calories</li><li>Kosher</li>"
"3LWN7PDF3E6E","Minute Maid Berry Punch Flavored Fruit Drink, 59 fl oz Carton","Juices",2.08,3.8,761,"<li>Enjoy a refreshing classic with Minute Maid Berry Punch</li><li>Made with real fruit juice and natural flavors</li><li>59 fl oz carton, so you can share the goodness with your friends</li>"
"1A5AG6J29XPX","Vive Organic Immunity Boost Shot, Vitamin C, Ginger and Turmeric Wellness Shot, 2 fl oz Bottle","Juices",2.98,4.9,45,
"0VGQ43ML19M3","Vive Organic Immunity Boost Shot, Original Ginger and Turmeric Wellness Shot, 2 fl oz Bottles, 4-Pack","Juices",10.88,4.8,88,
"709XZ79APVQD","Hawaiian Punch Berry Blue Typhoon, Juice Drink, 1 gal bottle","Juices",2.48,4.3,526,"<li>100% vitamin C per serving</li><li>Made with natural fruit juices</li><li>Mixed berry flavored juice drink</li>"
"5EZNLT7NIA4O","SUNNYD Tangy Original Shelf Stable Orange Juice Drink, 18 Count, 6.75 fl oz Bottles","Juices",6.16,4.2,888,"SUNNYD Tangy Original 18CT 6.75oz"
"7A6O3ZUDREG4","Hawaiian Punch Fruit Juicy Red Juice, 1 Gal, Bottle","Juices",2.48,4.3,933,"
<li>Delicious fruit punch juice made with seven natural fruit juices</li>
<li>100% daily recommended value of Vitamin C in each serving</li>
"
"3JCA0BC5A3ON","Minute Maid Premium Mango Punch Fruit Juice, 59 fl oz Carton","Juices",2.08,3.9,318,"<li>Enjoy a refreshing classic with Minute Maid Premium Mango Punch</li><li>Made with real fruit juice and natural flavors</li><li>59 fl oz, so you can share the goodness with your friends</li>"
"1RMVPAG8YRLU","Great Value No Added Sweeteners 100% Apple Juice, 64 fl oz","Juices",2.28,4.4,1347,"<li>130% vitamin C daily value per serving</li><li>Net weight 64fl oz</li><li>Apple juice from concentrate</li><li>No sugar added</li><li>Contains 100% juice</li><li>110 calories per serving</li>"
"5A369S3Z1L9P","Hawaiian Punch Green Berry Rush, Juice Drink, 1 gal bottle","Juices",2.48,4.4,423,"
<li>100% vitamin C per serving.</li>
"
"28GKU2ZXJIUX","AriZona Kiwi Mucho Mango Juice Cocktail, 128 Fl. Oz.","Juices",3.57,4.2,290,"Try one of these and the words ""no mucho""will never come out of your mouth again - at least when you're talking about Arizona Mucho Mango."
"1N4YTZY6QFBL","Minute Maid Strawberry Lemonade Fruit Drink, 59 fl oz Carton","Juices",2.08,4.5,1064,"<li>Enjoy a refreshing classic flavor with Minute Maid Strawberry Lemonade</li><li>Lemonade with a strawberry twist, made with real fruit juice and other natural flavors</li><li>The beverage with the</li>"
