"id","name","type","price","rating","numReviews","shortDescription"
"0XRPSX22AZG8","Q Mixers Ginger Beer, Premium Cocktail Mixer Made with Real Ingredients, 7.5 Fl Oz (Pack of 4)","Cocktail Mixers",4.12,4,12,
"409A5IGVJ57O","Beckett's Moscow Mule Award Winning Non-Alcoholic Mocktail, 4 Pack, 12 oz Cans","Cocktail Mixers",12.98,0,0,
"3TW88OWSTA3U","Strongwater Cocktail Bitters Sampler Set - Cocktail Bitters Set Makes 48 Cocktails - Bitters Gift Set w/ Cherry, Lavender, Bonfire, Orange, Aromatic, Walnut, Orange Bitters - 6 Bottles, 0.5 Fl Oz","Cocktail Mixers",29.95,0,0,
"0UUQI8VUM4HB","SPOOKY Dill Pickle and Horseradish Bloody Mary Mix Set, Low Carb, Low Calorie, Gluten Free, All-Natural","Cocktail Mixers",27.98,0,0,
"2P3ID58YWM4Q","Zing Zang Bloody Mary Mix, Non-Alcoholic Cocktail Mixer, 1.75L Bottle","Cocktail Mixers",9.43,4.6,57,"Zing Zang Bloody Mary Mix 1.75L"
"5RK5V8BNIBVT","Zing Zang Bloody Mary Mix, Non-Alcoholic Cocktail Mixer, 32 Fl Oz Bottle","Cocktail Mixers",5.64,5,7,"Zing Zang Bloody Mary Mix 32oz"
"2TH4CEBIMIPZ","Rose's Cane Sugar Grenadine Mixer, 12 fl oz, Bottle","Cocktail Mixers",4.18,4.3,119,"<li>Rich red concoction made with pomegranate flavor</li><li>Adds premium flavor to cocktails and non-alcoholic beverages</li>"
"4PWTWLU8R7DY","Mr & Mrs T Pina Colada Non- Alcoholic Mix, 1 L, Made with Cane Sugar, Shelf Stable, Plastic Bottle","Cocktail Mixers",4.72,4.4,259,"Mr And Mrs T Cocktail Mix - Pina Colada - Case Of 12 - 33.8 Fl Oz Country of origin : USA Kosher : Yes Size : 33.8 FZ Pack of : 12 Product Selling Unit : case"
"1PN3D9QC1KZE","Tres Agaves Organic Lime Margarita Mix, 1 Liter Bottle","Cocktail Mixers",8.98,4.8,16,"Tres Agaves Mix Og2 Margarita 1 LTR (Pack of 12)"
"5O0CCU0OARR5","Mr & Mrs T Sweet & Sour Mix, 1 L, Bottle","Cocktail Mixers",4.72,4.5,150,"Made From Premium, Qualtiy Ingredients,Delivers Delicious Made-From-Scratch Tase In Every PourMr. & Mrs. T"
"6UCI92A2LKV5","Maud's Mixers Espresso Martini Mix, 14 ct, Mocktail Non-Alcoholic Drinks - Made with Real Agave & Coffee - Low Calorie, Low Sugar, Easy to Mix","Cocktail Mixers",13.9,4.6,44,
"1W43ONQEVWNJ","Craftmix Variety Pack Cocktail Mixers, 4 Flavors, 12 Count","Cocktail Mixers",13.49,4.5,81,
"7D4JNEC7L7EO","Mr & Mrs T Margarita Mix, 1 L, Bottle","Cocktail Mixers",6.45,4.4,222,"The tangy sweet taste of fresh lime and just the right amount of sweetener perfectly accented by a squeeze of orange. Theres no need to travel south of the border to enjoy the delicious, authentic"
"4U31YLJZV6MQ","Rose's Blueberry Simple Syrup Mixer, 12 fl oz, Bottle","Flavored Syrups",4.18,4,38,"Rose's Blueberry Simple Syrup Mixer, 12 fl oz, Bottle"
"6W3DIFO04SEA","Rose's Cane Sugar Peach Simple Syrup Mixer, 12 fl oz, Bottle","Cocktail Mixers",4.18,4.1,15,"<li>QUALITY INGREDIENTS: Made with pure cane sugar, Roses Peach Simple Syrup Mixer is ideal for crafting artisanal beverages and scratch cocktails</li><li>GREAT TASTE: A perfect accent for alcoholic</li>"
"1O3QFZGZJC0W","Mr & Mrs T Watermelon Margarita Mix, 1 L, Bottle","Cocktail Mixers",4.74,4.1,49,"Mr & Mrs T Watermelon Margarita Mix, 1 L, Bottle"
"5MYKXIHTNRC2","Fever-Tree Ginger Beer 150ml Cans; 8-pack","Soda Pop",7.84,4.4,51,"Fever Tree Ginger Beer Can 3/8pk"
"7IFSS27V7JEU","Rose's Simple Syrup Mixer, 12 fl oz, Bottle","Flavored Syrups",4.18,4.1,29,"Rose's Simple Syrup Mixer, 12 fl oz, Bottle"
