"id","name","type","price","rating","numReviews","shortDescription"
"78JNTG8HMH8N","SodaStream Diet Dr. Pete Soda mix, 14.9 fl oz.","Drink Mixes",5.99,4.4,755,
"11DLM05IDZ9G","poppi Root Beer Prebiotic Soda Cold, 12 fl oz Can, Single Can","Soda Pop",2.28,3.4,7,
"11WGOIYYKGN5","Zevia Zero Calorie, No Sugar Dr. Zevia Soda Pop, 12 fl oz, 8 Pack Cans","Soda Pop",6.97,4.5,4136,
"5L9OCJMA0UCP","Starry Zero Sugar Lemon Lime Soda Pop, 12 fl oz, 12 Pack Cans","Soda Pop",6,4.3,178,
"6TM4W2ODCXES","Great Value Root Beer Soda, 2 Liter Bottle","Soda Pop",1,4.3,579,"<li>Sweet, creamy, thick and flavorful drink</li><li>Enjoy over ice or vanilla ice cream</li><li>Premium quality flavor and ingredients</li>"
"2VIC3HCNNGNT","Great Value Dr Thunder, 2 Liter Bottle","Soda Pop",1,4.3,963,"<li>Great Value Dr Thunder, 2 L</li><li>Excite your tastebuds</li><li>Bursting with delicious fizzy flavor</li><li>Perfect to serve at barbecues, family meals, picnics, block parties, and other social</li>"
"4PGI783OVWRL","Great Value Cream Soda Pop, 12 fl oz, 12 Pack Cans","Soda Pop",4.46,4.4,663,"<li>Great Value Cream Soda Pop, 12 fl oz, 12 Pack Cans</li><li>Classic cream soda</li><li>Sweet and creamy</li><li>Foamy and smooth</li>"
"182G3J0SQ6ZI","Great Value Dr Thunder Soda Pop, 12 fl oz, 24 Pack Cans","Soda Pop",8.87,4.3,1235,"<li>Great Value Dr Thunder Soda Pop, 12 fl oz, 24 Pack Cans</li><li>Delicious and refreshing</li><li>All the flavor you love</li>"
"5M2Z9ZIMP1MT","Sams Cola Soda Pop, 12 fl oz, 24 Pack Cans","Soda Pop",8.87,4.4,2000,"<li>24 servings per container</li><li>160 calories per serving</li><li>Deliciously refreshing beverage</li>"
"6WIFLW74VITK","Great Value Twist up Lemon Lime Soda, 2 Liter Bottle","Soda Pop",1,4.2,626,"<li>Lemon lime soda</li>"
"27MXNDKNQG2G","Zevia Straw Lemon Burst 8PK","Soda Pop",6.97,0,0,
"5N47U9HJXZS6","Zevia Fruity Variety 8PK","Soda Pop",6.97,0,0,
"5YOSIWR7A6XM","Great Value Orangette Orange Soda, 2 Liter Bottle","Soda Pop",1,4.2,205,"<li>Great Value Orangette Orange Soda, 2 L Bottle</li><li>Delicious and sweet soda</li><li>Great as a drink or adding citrus flavor to your recipes</li>"
"3Q6I9QW7WKR7","Coca-Cola Classic Soda Pop Fridge Pack, 12 fl oz Cans, 12 Pack","Soda Pop",8.12,4.6,35777,"<li>Coca-Cola Original Taste the crisp, refreshing taste you know and love</li><li>Coke, making life magic since 1886</li><li>Enjoy delicious and refreshing Coca-Cola sodas to refresh your day</li>"
"2GXBZ3AXDU07","Great Value Root Beer Soda Pop, 12 fl oz, 12 Pack Cans","Soda Pop",4.46,4.3,435,"<li>Premium quality</li><li>Creamy and delicious</li><li>180 calories per serving</li>"
