"id","name","type","price","rating","numReviews","shortDescription"
"5QPW4E6A0CKP","Caliber Vodka, 1.75 L Bottle of Vodka, 80 Proof","Liquor & Spirits",10.96,4.5,105,"<li>Made from the finest grains and pristine water</li><li>Clean, ultra-smooth taste</li><li>Distilled four times</li>"
"0VNZOY88TOCZ","Tito's Handmade Vodka, 1.75 L Bottle, 40% ABV","Liquor & Spirits",29.98,4.9,1502,"Tito's Handmade Vodka, 1.75 L Bottle, 40% ABV"
"4R7WFIES7PAG","Taaka Vodka 1.75 L Bottle of Vodka 80 Proof","Liquor & Spirits",9.98,4.5,15,"Taaka Vodka 1.75 L Bottle of Vodka 80 Proof"
"3QGMYNDDTY0Y","Smirnoff No. 21 80 Proof Vodka, 1.75 L Glass Bottle, 40% ABV","Liquor & Spirits",19.87,4.2,1442,"<li>Gluten Free</li><li>The world's #1 selling vodka</li><li>Exceptionally smooth with a clean palate</li><li>Triple-distilled and ten times filtered using a traditional charcoal filtration method</li>"
"2U7CINQTQBE1","Tito's Handmade Vodka, 750 ml Bottle, 40% ABV","Liquor & Spirits",18.84,4.9,587,"Tito's Handmade Vodka, 750 ml Bottle, 40% ABV"
"1IOX1Q1RV7R5","Caliber Vodka, 750 ml Traveler Bottle of Vodka, 80 Proof","Liquor & Spirits",5.98,4.7,22,"<li>Made from the finest grains and pristine water</li><li>Clean, ultra-smooth taste</li><li>Distilled four times</li>"
"2W32C1S9QFI0","Pink Whitney Lemonade Flavored Vodka, 750ml Glass Bottle, 30% ABV","Liquor & Spirits",9.98,4.5,12,"Pink Whitney Lemonade Flavored Vodka, 750ml Glass Bottle, 30% ABV"
"4C799YZHB6MQ","GREY GOOSE Vodka, 750 mL Bottle, ABV 40%","Liquor & Spirits",26.72,4.7,1834,"Grey Goose 750 Ml"
"5H2CFW3YVWN4","Smirnoff No. 21 80 Proof Vodka, 750 mL Glass Bottle, 40% ABV","Liquor & Spirits",11.46,4.1,1393,"Vodka Smirnoff 750ml"
"2UDQVR07O3PI","New Amsterdam Original Vodka, 750ml Glass Bottle, 40% ABV","Liquor & Spirits",9.98,4.5,161,"<li>93 Points, Tasting Panel 2016</li><li>For a great cocktail mix with ginger beer, fresh squeezed citrus, club soda or any type of juice</li><li>5 times distilled and 3 times filtered to deliver a</li>"
"6NHQ7VP2A4WY","Smirnoff Spicy Tamarind (Vodka Infused with Natural Flavors), 750 mL, 35% ABV","Liquor & Spirits",11.46,4.7,274,"<li>Smirnoff Spicy Tamarind is a unique and bold vodka flavor inspired by Mexican cuisine</li><li>A mix of chili spices that add a kick</li><li>A sweet and sour tamarind base</li>"
"7FWTVLFHW5VL","SVEDKA Vodka, 1.75 L Bottle, 40% ABV","Liquor & Spirits",17.12,4.6,1417,"<li>Unflavored vodka with a subtle, rounded sweetness, making it ideal for countless vodka drinks, sVEDKA 80 proof vodka with a balanced body and a crisp finish</li><li>Mix this unflavored vodka into</li>"
"1NA1DNE62M02","SVEDKA Vodka, 750 ml Bottle,40% ABV","Liquor & Spirits",9.87,4.6,1376,"<li>Unflavored vodka with a subtle, rounded sweetness, making it ideal for countless vodka drinks, sVEDKA 80 proof vodka with a balanced body and a crisp finish</li><li>Mix this unflavored vodka into</li>"
"1RWCFLRH61Z4","Seagram's Extra Smooth Vodka, 1.75 l PET Bottle, 40% ABV","Liquor & Spirits",14.87,4.3,16,"Seagram's Extra Smooth Vodka, 1.75 l PET Bottle, 40% ABV"
"2GPMHE19I5VK","Absolut Original Vodka, 750 ml Bottle, 40% ABV","Liquor & Spirits",14.87,4.3,7748,"<li>Absolut Vodka.</li><li>Country of Sweden.</li><li>Every drop of this superb vodka has been crafted only with Swedish winter wheat near the small town of Ahus and continues a determined commitment</li>"
"5O0FJJH4QUL8","New Amsterdam Vodka, 1.75 Liter Glass Bottle","Liquor & Spirits",16.98,4.6,174,"<li>93 Points, Tasting Panel 2016</li><li>For a great cocktail mix with ginger beer, fresh squeezed citrus, club soda or any type of juice</li><li>5 times distilled and 3 times filtered to deliver a</li>"
"6ZVIVXFTWA09","Smirnoff Raspberry (Vodka Infused With Natural Flavors), 750 mL Glass Bottle, 30% ABV","Liquor & Spirits",11.46,4.3,1866,"<li>Gluten Free</li><li>Sweet raspberry aroma</li><li>Flavor of dry raspberries with a peppery finish</li><li>Rich and robust, it complements everything well, including food, other mixers and most</li>"
"7KDL2W68TXLU","Tooooth-Repair-Kit,Effective T-ooth-Re-pair-Kit","Teeth Whitening",13.89,4.5,2325,"<li>Tooooth-Repair-Kit</li><li>Tooooth-Repair-Kit</li><li>Tooooth-Repair-Kit</li><li>Tooooth-Repair-Kit</li>"
"6IO0H8UK3RC3","New Amsterdam Peach Flavored Vodka, 750ml Glass Bottle","Liquor & Spirits",9.98,4.5,15,"New Amsterdam Peach Flavored Vodka, 750ml Glass Bottle"
"4FHHLHLXXP5H","Absolut Original Vodka, 1.75 L Bottle, 40% ABV","Liquor & Spirits",23.77,4.3,7794,"Absolut Vodka Blue 80p Vodka 1.75 L"
"78ZTDW1I7S5H","Caliber Citrus Vodka, 1.75 L Bottle of Vodka, 80 Proof","Liquor & Spirits",10.96,4.5,19,"<li>Extra smooth</li><li>Made with premium grains and pristine order distilled four times</li>"
"2Y8SJT7B4X09","Skyy Vodka, 1.75 L Bottle","Liquor & Spirits",22.87,4.2,2838,"Skyy Vodka 1.75 L"
"46ZSGD704VVK","SVEDKA Cherry Limeade Flavored Vodka, 750 ml Bottle, 35% ABV","Liquor & Spirits",9.87,4,8,"<li>Delicious vodka with robust lime and cherry flavor for a subtle, rounded sweetness, citrus and cherry vodka with a balanced body and a crisp finish</li><li>Mix this distilled vodka into cherry</li>"
"0ZPN4Y0H6KLM","Pinnacle Whipped Flavored Vodka, 750 ml Bottle, ABV 30.0%","Liquor & Spirits",10.73,3.7,3,"Pinnacle Whipped Flavored Vodka, 750 ml Bottle, ABV 30.0%"
"33171GO8RBIJ","Seagram's Extra Smooth Vodka, 750 ml Bottle, 40% ABV","Liquor & Spirits",7.98,4.3,3,"Seagram's Extra Smooth Vodka, 750 ml Bottle, 40% ABV"
"31DL1GF24USH","Tito's Handmade Vodka, 1 L Bottle, 40% ABV","Liquor & Spirits",23.98,4.9,336,"Tito's Handmade Vodka, 1 L Bottle, 40% ABV"
"15ECXDKSC6Q4","Liquor Quik Natural Vodka Essence 20 mL (Russian Vodka)","Liquor & Spirits",7.67,0,0,"<li>Russian Vodka Essence - Contains no alcohol</li><li>20 mL - Made with Natural Extracts and Essential Oils</li><li>Classic Moscovite style vodka.</li>"
"66778COA1RPF","Skyy Vodka,Net Weight 750 ml,Alcohol per Volume 40 %, 80 % Proof, 1 Count, Glass Bottle,Vodka Flavor","Liquor & Spirits",9.97,4.2,3078,"Skyy Vodka 750 Ml"
"268D7L1G43W0","Ketel One Vodka, 1.75 L, 40% ABV","Liquor & Spirits",32.98,4.7,1277,"<li>Made with 100% non-GMO Grain</li><li>Family-Made</li><li>Crafted to be Exceptionally Smooth Vodka</li>"
