"id","name","type","price","rating","numReviews","shortDescription"
"4OXQ7TC7WNLI","Red Label Non-Alcoholic Whiskey Spirit","Liquor & Spirits",33.99,0,0,
"51LGMPEL5NPF","Green Label Single Malt Non-Alcoholic Whiskey Spirit","Liquor & Spirits",33.99,0,0,
"1VPKE9VPGHUH","Pete's Blend Non-Alcoholic Whiskey and Bourbon","Liquor & Spirits",33.99,0,0,
"6DK2PFFOOTKY","White Label Single Malt Non-Alcoholic Whiskey Spirit","Liquor & Spirits",33.99,0,0,
"4CNYOX07XLD0","Jack Daniel's Old No. 7 Tennessee Whiskey, 750 ml Bottle, 80 Proof","Liquor & Spirits",17.98,4.6,1244,"<li>Smooth character with a balance of sweet and oaky flavors</li><li>Made from the finest corn, rye and barley malt</li><li>Full-bodied whiskey with flavors of orange, brown sugar and spice, a warm</li>"
"6AX6S8W3OLCX","Caliber Canadian Whisky, 1.75L Bottle of Whiskey, 80 Proof","Liquor & Spirits",12.98,4.6,27,"Caliber Canadian Whiskey 1.75l"
"4TZFNGFA5ZY8","Caliber Canadian Whisky, 750 ml Bottle of Whiskey, 80 Proof","Liquor & Spirits",6.98,4.8,6,"Caliber Canadian Whisky, 750 ml Bottle of Whiskey, 80 Proof"
"4L2GO12G4RYX","Crown Royal Fine De Luxe Blended Canadian Whisky, 750 mL, 40% ABV","Liquor & Spirits",19.98,4.6,1351,"<li>Blended Canadian Whisky</li><li>Rich and robust with slight hints of vanilla and fruit</li><li>Smooth and creamy with hints of oak and the sweet flavor of vanilla</li>"
"3MBJO6QVHUNY","Jim Beam White Label Straight Bourbon Aged 4 YR, 1.75 L Bottle, 40% ABV","Liquor & Spirits",22.98,4.5,926,"Jim Beam White 1.75 L"
"49G6XR925VZ8","Black Velvet Canadian WhiskyAged 3 Years, 1.75 L PET Bottle, 40% ABV","Liquor & Spirits",15.67,4.6,71,"Black Velvet Canadian WhiskyAged 3 Years, 1.75 L PET Bottle, 40% ABV"
"3D5TCCD2UPE0","Peanut Butter Non-Alcoholic Whiskey","Liquor & Spirits",33.99,0,0,
"5K6VRYK9O4VC","Crown Royal Regal Apple Flavored Whisky, 750 mL, 35% ABV","Liquor & Spirits",20.78,4.6,6439,"<li>Whisky infused with Regal Gala Apple Flavor</li><li>Lightly tart, crisp apple with notes of caramel and light spice</li><li>Smooth finish of refined apple notes and balanced sweetness</li>"
"2EKWDLPEB49M","Jameson Original Irish Whiskey, 750 ml Bottle, 40% ABV, 80 Proof","Liquor & Spirits",19.87,4.7,8659,"Jameson Original Irish Whiskey, 750 ml Bottle, 40% ABV, 80 Proof"
"0V7DEG3RFK4O","Buffalo Trace Kentucky Straight Bourbon Whiskey, 750 ml Liquor, 45% Alcohol","Liquor & Spirits",25.98,4.9,160,"Buffalo Trace Bourbon 750ml 90pf"
"2KCXJD4S2UC9","Jack Daniel's Tennessee Honey Flavored Whiskey Specialty, 750 ml Bottle, 35% ABV","Liquor & Spirits",17.98,4.5,4732,"<li>Blend of Jack Daniel's Tennessee Whiskey and a honey liqueur of our own making</li><li>Rich notes of natural honey and hints of delicate molasses, chocolate and pralines</li><li>Smooth finish with</li>"
"3ZLDF9O224TW","Jack Daniel's Old No. 7 Tennessee Whiskey, 1.75 L Bottle, 40% ABV","Liquor & Spirits",33.98,4.8,465,"Jack Daniels Black Label 1.75l"
"0WPNAKNX9PE3","Evan Williams Black Label Straight Bourbon, 1.75 L Bottle, 43% ABV","Liquor & Spirits",18.87,4.8,489,"Evan Williams Black Label Bourbon 1.75l"
"542T8E5I9IAA","Jim Beam White Label Straight Bourbon, 750 ml Single Glass Bottle, 40% ABV, 80 Proof","Liquor & Spirits",13.87,4.6,78,"<li>Jim Beam White Label Straight Bourbon</li><li>750 ml Single Glass Bottle, 40% ABV, 80 Proof</li><li>Elegant.</li><li>Smooth.</li><li>Refined.</li><li>225 years of experience goes into every bottle</li>"
